spam,mensagem
0,Boa tarde! Como foi o fim de semana?!!!
1,Ganhe dinheiro sem sair de casa com este método simples.
1,"Promoção imperdível! iPhone por R$ 9,99! :)"
0,Lembre-se da reunião de amanhã..
0,Boa tarde! Como foi o fim de semana?
1,Aumente seus lucros em 200% com este método secreto!
0,Confirma a entrega para quinta-feira?
0,Você pode me mandar o relatório hoje?
0,Vamos nos encontrar amanhã no trabalho.
0,Já enviou o documento para o cliente?!!!
0,Pode revisar o código que te mandei?.
0,Lembre-se da reunião de amanhã..
0,Pode revisar o código que te mandei?!!!
1,Aproveite! Últimas unidades com 90% de desconto! :)
1,Aproveite! Últimas unidades com 90% de desconto!
0,Pode revisar o código que te mandei? :)
1,Parabéns! Você foi selecionado para receber um bônus exclusivo.
1,Aproveite! Últimas unidades com 90% de desconto!!!!
0,"Oi, tudo bem?"
0,Vamos nos encontrar amanhã no trabalho.
0,"O almoço está marcado para meio-dia, certo?"
1,Seu CPF foi sorteado! Retire seu prêmio agora. :)
0,Você pode me mandar o relatório hoje?.
1,Seu CPF foi sorteado! Retire seu prêmio agora. :)
1,Você ganhou um prêmio! Clique aqui para resgatar..
0,Você pode me mandar o relatório hoje?
1,Você ganhou um prêmio! Clique aqui para resgatar.
1,Ganhe dinheiro sem sair de casa com este método simples..
1,Parabéns! Você foi selecionado para receber um bônus exclusivo. :)
0,"Oi, tudo bem?!!!"
0,Confirma a entrega para quinta-feira? :)
1,Oferta válida apenas hoje! Não perca! :)
0,"Oi, tudo bem? :)"
0,Você pode me mandar o relatório hoje?
1,Seu CPF foi sorteado! Retire seu prêmio agora.!!!
1,Clique aqui para confirmar seu prêmio milionário.
1,Seu CPF foi sorteado! Retire seu prêmio agora. :)
1,Ganhe dinheiro sem sair de casa com este método simples.
1,Oferta válida apenas hoje! Não perca!
0,"Estou terminando o projeto, te aviso quando estiver pronto."
0,Vamos nos encontrar amanhã no trabalho.!!!
1,Ganhe dinheiro sem sair de casa com este método simples.!!!
1,"Promoção imperdível! iPhone por R$ 9,99!"
0,"Estou terminando o projeto, te aviso quando estiver pronto.."
1,Aumente seus lucros em 200% com este método secreto!!!!
1,"Promoção imperdível! iPhone por R$ 9,99!!!!"
0,Você pode me mandar o relatório hoje?!!!
1,Oferta válida apenas hoje! Não perca! :)
0,Vamos nos encontrar amanhã no trabalho. :)
1,Você ganhou um prêmio! Clique aqui para resgatar. :)
1,Aproveite! Últimas unidades com 90% de desconto!
0,Confirma a entrega para quinta-feira? :)
1,Aumente seus lucros em 200% com este método secreto!.
1,"Promoção imperdível! iPhone por R$ 9,99!."
0,"O almoço está marcado para meio-dia, certo?."
1,Seu CPF foi sorteado! Retire seu prêmio agora..
0,Vamos nos encontrar amanhã no trabalho.!!!
1,Oferta válida apenas hoje! Não perca!!!!
1,"Promoção imperdível! iPhone por R$ 9,99! :)"
1,Aproveite! Últimas unidades com 90% de desconto!!!!
1,"Promoção imperdível! iPhone por R$ 9,99!!!!"
1,Seu CPF foi sorteado! Retire seu prêmio agora. :)
1,Aumente seus lucros em 200% com este método secreto!.
1,Você ganhou um prêmio! Clique aqui para resgatar..
1,Oferta válida apenas hoje! Não perca!
0,"O almoço está marcado para meio-dia, certo?"
0,Boa tarde! Como foi o fim de semana? :)
1,Seu CPF foi sorteado! Retire seu prêmio agora.
1,Aproveite! Últimas unidades com 90% de desconto!!!!
1,Você foi escolhido para uma oportunidade única de investimento.
0,Boa tarde! Como foi o fim de semana?.
0,Confirma a entrega para quinta-feira? :)
1,Seu CPF foi sorteado! Retire seu prêmio agora.
0,Vamos nos encontrar amanhã no trabalho..
0,"Oi, tudo bem?!!!"
1,Ganhe dinheiro sem sair de casa com este método simples.
0,Boa tarde! Como foi o fim de semana?
0,Boa tarde! Como foi o fim de semana?
1,Aproveite! Últimas unidades com 90% de desconto!.
1,Aproveite! Últimas unidades com 90% de desconto! :)
1,Clique aqui para confirmar seu prêmio milionário.!!!
1,Oferta válida apenas hoje! Não perca!!!!
1,Você foi escolhido para uma oportunidade única de investimento.
0,"O almoço está marcado para meio-dia, certo? :)"
1,Clique aqui para confirmar seu prêmio milionário. :)
1,Aproveite! Últimas unidades com 90% de desconto!.
0,Já enviou o documento para o cliente? :)
0,Já enviou o documento para o cliente? :)
0,"Oi, tudo bem?!!!"
1,Ganhe dinheiro sem sair de casa com este método simples.
0,Boa tarde! Como foi o fim de semana?!!!
0,Confirma a entrega para quinta-feira?
1,Parabéns! Você foi selecionado para receber um bônus exclusivo.!!!
1,Você foi escolhido para uma oportunidade única de investimento.!!!
1,Oferta válida apenas hoje! Não perca!!!!
1,Aumente seus lucros em 200% com este método secreto! :)
1,"Promoção imperdível! iPhone por R$ 9,99!!!!"
0,Confirma a entrega para quinta-feira? :)
0,Confirma a entrega para quinta-feira?
0,"O almoço está marcado para meio-dia, certo?"
0,"Oi, tudo bem? :)"
1,Oferta válida apenas hoje! Não perca! :)
0,Já enviou o documento para o cliente?
1,"Parabéns! Você ganhou um cupom de R$500,00. Clique e resgate agora!"
1,"Última chance: iPhone 15 por apenas R$99,00!"
1,"Ganhe R$200 por dia trabalhando de casa, sem experiência!"
1,Seu CPF foi sorteado! Retire seu prêmio clicando aqui.
1,Oferta relâmpago! TVs com 90% de desconto até meia-noite.
1,Confirme seus dados para liberar seu crédito imediato.
1,Descubra o segredo dos milionários — acesse o link!
1,Você foi selecionado para um empréstimo especial sem consulta ao SPC.
1,Aproveite agora: Netflix grátis por 1 ano!
1,Clique aqui e veja como multiplicar seu dinheiro em poucos dias.
1,Você foi sorteado em nossa promoção exclusiva!
1,Ganhe seguidores reais no Instagram em 5 minutos!
1,Atualize seus dados bancários e evite bloqueio da conta.
1,Convite exclusivo: participe de nosso grupo VIP e ganhe prêmios.
1,"Promoção limitada! Roupas de marca por R$19,90."
1,"Alerta: seu cartão foi bloqueado, clique para desbloquear."
1,Ganhe bitcoins grátis só por assistir vídeos!
1,Cadastre-se e receba R$50 de bônus agora mesmo!
1,Faça parte da nossa equipe e lucre sem sair de casa!
1,Receba pagamentos automáticos todos os dias!
1,"Seu pedido foi cancelado, clique aqui para confirmar."
1,Oferta exclusiva: compre 1 e leve 3!
1,Você foi escolhido para testar produtos grátis!
1,Seu celular pode estar infectado — escaneie agora!
1,Ganhe prêmios respondendo apenas 3 perguntas!
1,Oportunidade única: invista R$100 e ganhe R$1.000!
1,Convite especial: evento gratuito sobre como enriquecer.
1,Participe do sorteio do novo Galaxy!
1,"Aproveite frete grátis em todo o site, só hoje!"
1,Atualize sua senha urgente ou sua conta será bloqueada.
1,Ganhe milhas aéreas sem gastar nada!
1,Clique aqui e descubra como perder peso dormindo.
1,Promoção imperdível: ingressos com 80% de desconto!
1,Sua encomenda está aguardando confirmação — veja aqui.
1,Seu benefício foi aprovado! Faça login para receber.
1,Novo método para ganhar dinheiro pelo WhatsApp!
1,Não perca essa chance de mudar de vida.
1,Participe e concorra a um carro 0 km!
1,Resgate seu vale-presente agora antes que expire.
1,Parabéns! Você ganhou um bônus exclusivo da operadora.
1,Descubra como viajar de graça com este truque.
1,Clique aqui e tenha acesso a filmes pagos sem custo.
1,Acesse este link e veja como quitar suas dívidas rapidamente.
1,Convite VIP: assista ao curso gratuito e ganhe certificado.
1,Libere seu saldo pendente imediatamente clicando abaixo.
1,Oferta relâmpago de fim de ano — até 95% OFF!
1,Novo método para ganhar R$1.000 por semana!
1,Seu pacote está parado no centro de distribuição — clique para liberar.
1,Você foi indicado para uma vaga exclusiva de trabalho remoto.
0,Você pode revisar o relatório antes da reunião de amanhã?
0,Não se esqueça de levar o carregador quando sair.
0,O jantar ainda está de pé para hoje à noite?
0,"Consegue me enviar o número do pedido, por favor?"
0,O professor mudou o horário da aula de quinta.
0,Vamos ao cinema depois do trabalho?
0,Esqueci meu guarda-chuva na sua casa ontem.
0,Pode me confirmar se o pacote chegou?
0,O time combinou o treino para sábado às 10h.
0,Você viu o e-mail que mandei mais cedo?
0,Já fez o backup dos arquivos do projeto?
0,A entrega deve acontecer até o final do dia.
0,O cachorro comeu bem hoje?
0,A reunião foi adiada para semana que vem.
0,Consegue trazer o pen drive amanhã?
0,O almoço está marcado no mesmo lugar de sempre.
0,A internet aqui está muito lenta hoje.
0,Você terminou a planilha do orçamento?
0,Vamos precisar refazer o relatório mensal.
0,"O aniversário do João é amanhã, não esquece!"
0,Pode deixar o documento impresso na minha mesa.
0,Já chegou em casa?
0,A aula de hoje foi bem produtiva.
0,Estou pensando em trocar de celular esse mês.
0,Pode me ligar quando tiver um tempo?
0,"O café acabou, dá pra comprar mais?"
0,O trânsito hoje está terrível.
0,Consegue revisar o código antes do deploy?
0,Combinei de sair com o pessoal depois do expediente.
0,Está tudo certo com o relatório final?
0,Vou passar no mercado antes de voltar pra casa.
0,O cliente pediu uma pequena alteração no layout.
0,A reunião com o chefe foi tranquila.
0,Você pode revisar o documento antes de enviar?
0,"Esqueci minha carteira no carro, pode verificar?"
0,A previsão é de chuva o dia inteiro.
0,Já assistiu ao novo episódio da série?
0,O professor pediu para entregar o trabalho até sexta.
0,O cachorro do vizinho não para de latir.
0,"Recebi sua mensagem, amanhã te respondo com calma."
0,O sistema ficou fora do ar por alguns minutos.
0,Você vai participar da confraternização da empresa?
0,O jantar de ontem estava ótimo!
0,Pode avisar quando chegar no escritório?
0,Terminei a leitura do livro que você recomendou.
0,A entrega foi confirmada para o período da manhã.
0,O ônibus atrasou de novo hoje.
0,Consegue enviar o arquivo em formato PDF?
0,A planilha de custos precisa de uma atualização.
0,O pessoal combinou de almoçar juntos amanhã.
